window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S2_r25_n1000_s456,S2_r25,456,1000,0.3,0.25,0.038461538461538464,0.3076923076923077,0.037219230769230775,0.07000000000000006,0.9045560307690721,0.7533333333333333,0.0,0.9283666666666668,700,0,74,226,700,1.0,225,1.0,25,0.0,25,0.04,25,0.0
S2_r25_n1000_s789,S2_r25,789,1000,0.3,0.25,0.057692307692307696,0.3076923076923077,0.039400000000000004,0.06879999999999997,0.9031476997578692,0.75,0.0,0.9325,700,0,75,225,700,1.0,225,1.0,25,0.0,25,0.0,25,0.0
S2_r25_n1000_s1024,S2_r25,1024,1000,0.3,0.25,0.5,0.5769230769230769,0.04871153846153848,0.08339999999999992,0.9073616600790514,0.76,0.0,0.9291857142857142,700,0,72,228,700,1.0,225,1.0,25,0.0,25,0.12,25,0.0
S2_r50_n500_s42,S2_r50,42,500,0.3,0.5,0.36538461538461536,0.46153846153846156,0.07171153846153848,0.15279999999999994,0.7884795682696486,0.5066666666666667,0.0,0.8574285714285714,350,0,74,76,350,1.0,75,1.0,25,0.0,25,0.04,25,0.0
S2_r50_n500_s123,S2_r50,123,500,0.3,0.5,0.8076923076923077,0.8076923076923077,0.0850423076923077,0.16679999999999995,0.7849462365591398,0.5,0.0,0.8677333333333334,350,0,75,75,350,1.0,75,1.0,25,0.0,25,0.0,25,0.0
S2_r50_n500_s456,S2_r50,456,500,0.3,0.5,0.5961538461538461,0.6538461538461539,0.07989230769230769,0.16279999999999994,0.7849462365591398,0.5,0.0,0.8496380952380953,350,0,75,75,350,1.0,75,1.0,25,0.0,25,0.0,25,0.0
S2_r50_n500_s789,S2_r50,789,500,0.3,0.5,0.5961538461538461,0.7307692307692307,0.07513076923076924,0.13679999999999992,0.7884795682696486,0.5066666666666667,0.0,0.8560380952380953,350,0,74,76,350,1.0,75,1.0,25,0.0,25,0.04,25,0.0
S2_r50_n500_s1024,S2_r50,1024,500,0.3,0.5,0.6923076923076923,0.7884615384615384,0.08643846153846155,0.17879999999999996,0.7919884197388742,0.5133333333333333,0.0,0.8752571428571428,350,0,73,77,350,1.0,75,1.0,25,0.0,25,0.08,25,0.0
S2_r50_n1000_s42,S2_r50,42,1000,0.3,0.5,0.8269230769230769,0.8846153846153846,0.07286923076923077,0.1257999999999999,0.7884795682696486,0.5066666666666667,0.0,0.8634999999999999,700,0,148,152,700,1.0,150,1.0,50,0.0,50,0.04,50,0.0
S2_r50_n1000_s123,S2_r50,123,1000,0.3,0.5,0.9230769230769231,0.9230769230769231,0.0738653846153846,0.14479999999999993,0.7884795682696486,0.5066666666666667,0.0,0.8575142857142859,700,0,148,152,700,1.0,150,1.0,50,0.0,50,0.04,50,0.0
S2_r50_n1000_s456,S2_r50,456,1000,0.3,0.5,0.7884615384615384,0.8461538461538461,0.07226153846153847,0.13479999999999992,0.7937337743162987,0.5166666666666667,0.0,0.8571095238095238,700,0,145,155,700,1.0,150,1.0,50,0.0,50,0.1,50,0.0
